"name","metric","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","cmi_max","cmi_mean","cmi_min","cmi_range","fgd","gdd0","gddlgd0","gdgfgd0","gsl","gsp","gst","ngd0","longitude","latitude"
"Abietinella abietina","mean",-1.05,7.2,0.23,900.9,15.65,-16.64,32.3,7.68,-6.38,10.81,-12.19,1066.3,142.4,49.5,39.3,385.9,166.6,347.9,223.8,85.4,36.2,-25.1,110.5,173,1365.5,289,113,115,10145996.6,8.76,179,-0.916,58.964
"Abietinella abietina","median",0.150000000000034,6.9,0.224000000953674,790.65,15.7500000000001,-14.45,29.6,9.25000000000006,-5.24999999999994,10.95,-9.69999999999996,882.85,126.3,38.3,33.5,334.35,126.45,312.2,163.35,63.75,24.1,-32,96.9,169,1407.15,291,109.5,118,382.8,8.95000000000005,182.5,9.5974,61.641
"Abietinella abietina","Q05",-11.04,4.8,0.135000002384186,565.215,10.7550000000001,-32.745,22.905,-6.34999999999997,-27.445,6.75500000000006,-30.045,413.625,67.175,7.41,15.3,181.525,26.71,180.22,31.605,16.115,-17.295,-76.69,64.11,134,698.345,259,88.7,57.15,176.735,5.15000000000003,114.05,-146.008705,43.69834
"Abietinella abietina","Q95",3.74000000000004,10.3,0.344950004816055,1572.835,20.85,-6.65499999999998,50,14.45,7.44500000000004,14.645,-2.35499999999997,2129.26,260.57,131.695,85.87,738.399999999999,428.845,687.865,525.35,188.77,116.795,67.2399999999999,186.795,220,2008.005,318,147,161,850.965,12.05,236.85,130.4249,69.855495
"Abietinella abietina","range",14.78,5.5,0.20995000243187,1007.62,10.095,26.09,27.095,20.8,34.89,7.88999999999997,27.69,1715.635,193.395,124.285,70.57,556.874999999999,402.135,507.645,493.745,172.655,134.09,143.93,122.685,86,1309.66,59,58.3,103.85,674.23,6.89999999999998,122.8,276.433605,26.157155
"Abietinella abietina","optimum",1.54,6.4,0.181,738.2,16.19,-13.57,28.1,11.65,-4.45,12.44,-8.68,701.3,106.9,31.8,31.6,289.7,100.7,284.1,125.7,50.7,18.3,-37.8,87.4,157,1586.8,298,105,129,-89.3,9.9,197,8.864,62.286
"Acaena novae-zelandiae","mean",5.23,8.5,0.414,423.8,16.94,-3.71,20.7,1.5,8.92,10.72,-0.16,1707.1,199,90.7,25.3,563.7,301.6,332.7,535.9,149.9,62.1,-37.7,187.6,308,1984.3,155,243,243,1037.6,7.57,307,148.947,-38.912
"Acaena novae-zelandiae","median",5.25000000000006,9.1,0.403999996185303,479.2,17.45,-4.24999999999994,22.7,1.35000000000002,9.05000000000001,10.95,-0.849999999999966,1597.1,192.7,81.9,25.6,547.2,268.1,293.9,531.2,142.6,47.7,-53.7,185.5,322,1962.6,156,242,198,665.3,8.15000000000003,290,147.2608,-36.9129
"Acaena novae-zelandiae","Q05",3.35000000000002,6.6,0.387099990844727,290.5,14.36,-6.94999999999999,15.81,-1.23999999999995,4.82000000000006,9.25000000000006,-3.04999999999995,1062.87,119.22,53.5,14.74,345.11,186.11,188.45,323.62,64.85,5.68,-80.31,116.69,219.2,1451.9,137,233,145.3,498.75,5.55000000000001,244.2,146.04798,-43.54059
"Acaena novae-zelandiae","Q95",7.05000000000001,9.7,0.455999994277954,508.29,18.7500000000001,0.150000000000034,23.9,6.14000000000003,11.15,11.7500000000001,3.35000000000002,2686.24,277.73,141.43,33.3,785.01,480.93,580.779999999999,777.17,242.49,151.17,34.44,246.69,347.7,2564.59,169,264,365,2063.22,8.75000000000006,365,168.11587,-36.39495
"Acaena novae-zelandiae","range",3.69999999999999,3.1,0.0689000034332276,217.79,4.39000000000003,7.10000000000002,8.09,7.37999999999998,6.32999999999998,2.5,6.39999999999998,1623.37,158.51,87.9299999999998,18.56,439.9,294.82,392.329999999999,453.55,177.64,145.49,114.75,130,128.5,1112.69,32,31,219.7,1564.47,3.20000000000005,120.8,22.06789,7.14564000000001
"Acaena novae-zelandiae","optimum",5.16,9.3,0.403,491.7,18.26,-4.59,23.2,-0.63,8.9,11.18,-1.15,1629.3,196.3,83.4,29.5,560,269.2,291.8,556.7,146.2,45.4,-60.6,216.4,320,1982.2,158,241,188,625.9,8.46,282,147.129,-36.694
"Achillea atrata","mean",-0.54,9.4,0.326,698.3,13.58,-15.07,28.7,7.78,-8.05,8.34,-9.61,1999.7,252.1,106.1,29.6,709.7,355.7,702.4,366.1,156.8,103,58.4,98.4,198,1073,294,117,93,20610519.6,6.51,178,10.881,46.948
"Achillea atrata","median",-0.349999999999966,9.4,0.327999997138977,693.6,13.7500000000001,-14.85,28.4,8.25000000000006,-8.24999999999994,8.45000000000005,-9.44999999999999,1957.4,246.3,103.1,31.7,695.7,346.9,692.2,352.3,152,101.5,56.7,93,195,1084.1,295,116,97,623.1,6.85000000000002,180,10.7268,47.0497
