Species;STI;STIsd
Angelica archangelica;5.47082387;3.530621446
Arabis alpina;7.946938757;6.065023382
Armeria maritima;9.923841136;3.913356934
Bartsia alpina;3.989420393;4.776783453
Bistorta vivipara;4.908364324;4.141925416
Cardamine pratensis;7.621869693;3.981951655
Carex panicea;7.290159769;3.551514951
Cerastium alpinum;5.101601554;5.067558012
Coeloglossum viride;7.058860585;3.900555657
Hieracium alpinum;3.35813778;4.464499568
Hierochloe odorata;6.594924459;4.02914092
Hippuris vulgaris;6.682892266;3.656295086
Juncus articulatus;9.298618113;3.977561808
Minuartia biflora;1.909929874;4.593255202
Oxyria digyna;3.961671359;4.508269841
Parnassia palustris;7.602249674;3.957687735
Polygonum aviculare;8.595994238;4.529719971
Potentilla anserina;7.869617673;2.862674035
Potentilla crantzii;4.916027911;4.105214998
Sagina nodosa;6.680150783;3.384251209
Sagina procumbens;8.229519805;4.208554694
Saxifraga oppositifolia;5.684845716;4.578553053
Saxifraga stellaris;4.540143204;4.368697775
Sedum acre;8.63041171;4.070681291
Sedum annuum;5.77111942;4.696022123
Selaginella selaginoides;4.198426469;4.04538345
Senecio vulgaris;8.79498901;4.322413714
Silene acaulis;5.468583275;5.010311085
Tofieldia pusilla;3.04013338;4.009948569
Alchemilla alpina;4.747923421;4.683732789
Campanula rotundifolia;6.640137509;3.641062706
Cerastium fontanum;7.505324323;3.902681455
Loiseleuria procumbens;3.301697014;4.293081368
Rhinanthus minor;7.276308981;3.816694596
Saxifraga nivalis;1.061755248;2.859611367
Sibbaldia procumbens;3.943525992;4.740819176
Veronica serpyllifolia;7.64965059;3.993949618
Pinguicula vulgaris;6.127288967;3.879279729
Ranunculus reptans;4.546571287;3.390973238
Calamagostris stricta;4.246991358;3.336275293
Carex canescens;6.931652989;3.715441067
Carex chordorrhiza;3.944026228;3.204079648
Carex nigra;7.554487205;3.946093665
Carex rostrata;7.081611517;3.800997601
Deschampsia flexuosa;7.895153289;4.407834872
Elymus repens;8.523123589;4.394064535
Eriophorum angustifolium;7.002464892;3.755490029
Galium boreale;5.991997293;3.559934942
Galium verum;8.855251231;3.636764663
Gnaphalium norvegicum;3.300206268;4.205940257
Honckenya peploides;7.242088177;3.725684625
Juncus bufonius;8.683295783;4.300935582
Juncus filiformis;5.317044018;3.469158918
Juncus trifidus;4.316824037;4.712103893
Juniperus communis;7.844230614;4.219518275
Menyanthes trifoliata;6.962190049;3.709839649
Saxifraga hypnoides;9.966037041;2.027950961
Thalictrum alpinum;2.696940747;4.071664263
Vaccinium uliginosum;6.277198456;3.830039006
Nardus stricta;7.257136109;3.905917564
Plantago maritima;7.304817763;3.947068811
Veronica alpina;4.882986392;5.105368987
Dryas octopetala;5.98893524;4.887273671
Agrostis stolonifera;8.671221357;4.249108706
Alopecurus aequalis;6.974184538;3.745353423
Alopecurus geniculatus;7.437703006;3.356252035
Atriplex patula;9.169272751;3.576255406
Botrychium lunaria;6.52841131;3.493849549
Capsella bursa-pastoris;8.367962772;4.354557564
Carex bigelowii;1.449709961;3.128994934
Carex capillaris;4.901442558;3.541393298
Carex demissa;6.935261368;2.270127585
Carex dioica;5.461438426;3.458805037
Carex limosa;5.24849255;3.410824771
Carum carvi;6.837805241;3.763725123
Cochlearia officinalis;7.041515624;3.198620437
Cystopteris fragilis;7.986744848;4.215390613
Diphasiastrum alpinum;3.733792524;4.300032448
Draba incana;3.237969172;3.963108765
Draba verna;9.759648992;3.209360693
Eleocharis palustris;8.653657595;4.070941717
Eleocharis quinqueflora;7.445269113;3.163184168
Gentiana nivalis;4.036149977;5.045798486
Gentianella campestris;6.089289902;3.423458896
Leymus arenarius;6.053029518;2.928318026
Montia fontana;7.221206271;3.871590167
Poa alpigena;0.686103605;2.544476836
Poa alpina;5.989631143;5.279002872
Poa annua;8.295615987;4.402133106
Potamogeton natans;8.203330507;3.927694849
Puccinellia distans;8.858718348;3.357496174
Rhodiola rosea;4.087947229;4.021591582
Rumex longifolius;3.649599028;3.212493369
Salix lanata;-0.159830415;1.90913175
Saxifraga cespitosa;0.669824016;2.509332165
Saxifraga rivularis;0.308909617;2.286793706
Silene uniflora;6.758436923;3.994572756
Stellaria crassifolia;4.373346749;3.360567114
Triglochin palustris;7.284910274;3.366304733
Veronica scutellata;7.34652064;3.546873655
Viscaria alpina;1.942625158;3.721455843
Scorzoneroides autumnalis;7.313626658;3.80906156
Valeriana sambucifolia;7.512932648;3.832022724
Erodium cicutarium;9.322008415;3.884505808
Geranium robertianum;9.571964416;3.711803107
Rumex crispus;9.332396251;3.647062873
Sonchus asper;9.476130533;3.737148925
Sonchus oleraceus;9.407985904;3.807978465
Fumaria officinalis;9.095028746;4.002551562
Medicago lupulina;9.76874875;3.517909473
Lychnis flos cuculi;8.436946595;3.697976866
Convolvulus arvensis;9.635109358;3.651396652
Daucus carota;10.11650327;3.289890587
Lotus corniculatus;9.332670243;3.914329389
Succisa pratensis;8.126986504;2.898056911
Valeriana officinalis;9.116712865;2.694314007
Euphrasia frigida;1.034258697;2.549128017
Gentianella amarella;5.646719024;2.975021637
Poa trivialis;8.729876183;4.415624067
Saxifraga hirculus;5.09490683;3.342234042
Anthemis arvensis;9.436102764;3.727493714
Lamium purpureum;8.677269343;3.420359755
Myosotis arvensis;8.261686557;4.063032025
Plantago lanceolata;9.419163452;3.795031671
Arctostaphylos uva-ursi;5.985977318;3.917312365
Carex vaginata;2.659373095;2.89138356
Centaurea cyanus;8.444562167;3.808814099
Empetrum nigrum;5.481186651;3.710560479
Saxifraga aizoides;4.713570715;4.610456196
Corallorhiza trifida;5.583556848;3.583756692
Melampyrum sylvaticum;5.262743361;3.703457198
Epilobium anagallidifolium;4.387553147;4.604112604
Bellis perennis;9.764460395;2.956507055
Limosella aquatica;7.689622566;2.192055809
Agrimonia eupatoria;9.754585361;3.497930022
Anthyllis vulneraria;9.097377763;4.141283243
Aquilegia vulgaris;8.650398574;3.141789373
Arrhenatherum elatius;9.023325253;3.396559093
Chelidonium majus;9.599409411;3.493392746
Cirsium vulgare;9.02945066;3.805623354
Conyza canadensis;10.05537814;3.402411588
Euphorbia helioscopia;9.153549332;3.902639268
Galium aparine;9.079501711;4.122243949
Lolium perenne;9.454502586;3.756956442
Luzula campestris;9.417455432;3.229670372
Lycopus europaeus;9.722971374;3.385071612
Papaver rhoeas;10.15331156;3.3956762
Trifolium arvense;9.700964404;3.619318353
Viola arvensis;8.623803727;3.564905512
Agrostemma githago;9.440023431;3.846903065
Echium vulgare;9.841665188;3.524063926
Lamium amplexicaule;9.068777007;3.943402596
Ranunculus flammula;8.61476516;3.536792968
Sambucus nigra;9.981110245;2.923400677
Trifolium fragiferum;10.44311721;3.214351004
Artemisia vulgaris;8.045544482;3.89279207
Gnaphalium uliginosum;8.016189877;3.509618838
Carex flava;7.507792259;3.916337169
Crataegus monogyna;10.09332099;3.348788658
Festuca arundinacea;9.174943198;2.430739277
Glechoma hederacea;8.354661008;3.448435074
Glyceria fluitans;9.102994919;3.831066079
Iris pseudacorus;9.401308377;3.520567457
Lapsana communis;9.004448728;3.621440395
Salix purpurea;10.27402195;3.139630341
Alnus glutinosa;9.16374872;3.670495802
Briza media;9.089888869;3.021812559
Rubus caesius;9.522874826;2.882625336
Geranium lucidum;11.25033643;3.38645472
Lythrum salicaria;9.485957103;3.278446163
Clinopodium vulgare;9.723762889;3.532566515
Senecio jacobaea;9.03513847;2.728415727
Solanum dulcamara;9.613275035;3.446563768
Ranunculus bulbosus;10.03973232;3.311363195
Festuca pratensis;7.815142877;3.401403844
Geum urbanum;9.007283057;3.577678159
Potentilla reptans;9.985146969;3.225505817
Prunus spinosa;9.94546764;2.792865844
Ranunculus ficaria;9.74848199;3.389800964
Rosa canina;9.987121247;3.210862113
Epilobium montanum;8.028265139;3.542032908
Juncus bulbosus;7.535468934;3.271119879
Sedum telephium;8.63414361;2.952188032
Arabis hirsuta;8.872318869;3.848371603
Carex disticha;8.316146546;2.193036896
Mentha arvensis;7.239835098;3.342026328
Aster tripolium;9.051215535;2.974289407
Lobelia dortmanna;4.855637545;3.058583417
Nymphaea alba;9.234355979;3.22478648
Gnaphalium sylvaticum;7.140874713;3.517859818
Linum catharticum;8.497112279;2.940266791
Ophioglossum vulgatum;8.520464783;2.699048504
Schoenoplectus tabernaemontani;9.848865245;3.174269303
Tanacetum vulgare;7.531947351;3.863328861
Carex pilulifera;7.939265478;3.192086079
Stachys palustris;8.267146432;3.295543173
Alliaria petiolata;9.471290206;3.196733338
Drosera intermedia;8.252004175;3.125496339
Carex flacca;10.45811383;3.212047588
Hyoscyamus niger;9.4055959;3.374146904
Hypericum perforatum;9.763573323;3.449022361
Lepidium ruderale;9.217197775;3.658047568
Ranunculus arvensis;11.01120094;3.203297733
Saxifraga granulata;9.019389355;3.052009396
Sedum album;10.70127688;3.495482158
Veronica arvensis;9.455542058;3.599500344
Nuphar lutea;8.383497953;3.850992407
Pyrus communis;10.10180236;2.953524498
Artemisia campestris;9.210296271;3.436699244
Calluna vulgaris;7.221780975;4.128961306
Cirsium arvense;8.649979163;4.045823371
Dactylis glomerata;9.082611423;3.659802909
Phleum pratense;8.309313028;3.956195702
Plantago major;8.820277036;4.338762797
Prunella vulgaris;8.843925872;4.126372695
Pteridium aquilinum;9.338249702;3.747030182
Rumex acetosa;8.371345171;4.419750864
Salicornia europaea;11.14179215;4.033470344
Salsola kali;11.18249616;3.275511182
Spergularia marina;9.849109181;4.258309075
Stellaria media;8.361462887;4.408514092
Trifolium pratense;8.622780228;4.326717933
Trifolium repens;8.635273564;4.377939186
Veronica agrestis;8.507636116;3.301914131
Butomus umbellatus;9.082378891;3.314106562
Eupatorium cannabinum;9.577762843;2.910386162
Agrostis capillaris;7.842563781;4.175474292
Alisma plantago-aquatica;8.506918517;3.639859566
Anthoxanthum odoratum;7.967475047;4.31039756
Arabidopsis thaliana;9.056361635;3.524616224
Arctium minus;9.396594146;3.411267929
Arenaria serpyllifolia;9.096080698;3.593262265
Asplenium trichomanes;9.750100114;3.628011829
Atriplex prostrata;9.613466769;3.332901005
Bolboschoenus maritimus;9.635924984;2.974959512
Brassica rapa;8.624016437;4.10984545
Cardamine hirsuta;10.50656418;3.12541262
Centaurium pulchellum;10.45036314;3.020139307
Cerastium glutinosum;10.97057378;2.991048466
