"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","class","acceptedUsageKey","synonym","verbatim_name","verbatim_index","verbatim_genus","accepted_name"
5345014,"Astragalus alpinus L.","Astragalus alpinus","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Fabales","Fabaceae","Astragalus","Astragalus alpinus",6,7707728,220,1370,5386,2933951,5345014,"Magnoliopsida",NA,NA,"Astragalus alpinus",1,"Astragalus","Astragalus alpinus"
3170807,"Bartsia alpina L.","Bartsia alpina","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Orobanchaceae","Bartsia","Bartsia alpina",6,7707728,220,408,6651,3170806,3170807,"Magnoliopsida",NA,NA,"Bartsia alpina",2,"Bartsia","Bartsia alpina"
5332004,"Betula nana L.","Betula nana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Fagales","Betulaceae","Betula","Betula nana",6,7707728,220,1354,4688,2875008,5332004,"Magnoliopsida",NA,NA,"Betula nana",3,"Betula","Betula nana"
2729338,"Carex parallela (Laest.) Sommerf.","Carex parallela","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Cyperaceae","Carex","Carex parallela",6,7707728,196,1369,7708,2721893,2729338,"Liliopsida",NA,NA,"Carex parallela",4,"Carex","Carex parallela"
2725816,"Carex vaginata Tausch","Carex vaginata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Cyperaceae","Carex","Carex vaginata",6,7707728,196,1369,7708,2721893,2725816,"Liliopsida",NA,NA,"Carex vaginata",5,"Carex","Carex vaginata"
5333401,"Cassiope tetragona (L.) D.Don","Cassiope tetragona","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Cassiope","Cassiope tetragona",6,7707728,220,1353,2505,2882766,5333401,"Magnoliopsida",NA,NA,"Cassiope tetragona",6,"Cassiope","Cassiope tetragona"
4889932,"Dryas octopetala L.","Dryas octopetala","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Rosales","Rosaceae","Dryas","Dryas octopetala",6,7707728,220,691,5015,3000739,4889932,"Magnoliopsida",NA,NA,"Dryas octopetala",7,"Dryas","Dryas octopetala"
7920625,"Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher","Empetrum nigrum hermaphroditum","SUBSPECIES","SYNONYM",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Empetrum","Empetrum hermaphroditum",6,7707728,220,1353,2505,2888367,6387994,"Magnoliopsida",6387994,NA,"Empetrum nigrum/nigrum subsp. hermaphroditum",8,"Empetrum","Empetrum hermaphroditum"
2687948,"Equisetum scirpoides Michx.","Equisetum scirpoides","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Equisetales","Equisetaceae","Equisetum","Equisetum scirpoides",6,7707728,7228684,954,3105,2687913,2687948,"Polypodiopsida",NA,NA,"Equisetum scirpoides",9,"Equisetum","Equisetum scirpoides"
4038577,"Persicaria vivipara (L.) Ronse Decr.","Persicaria vivipara","SPECIES","SYNONYM",99,"EXACT","Plantae","Tracheophyta","Caryophyllales","Polygonaceae","Bistorta","Bistorta vivipara",6,7707728,220,422,2416,8148051,2889299,"Magnoliopsida",2889299,NA,"Persicaria vivipara",10,"Persicaria","Bistorta vivipara"
2883075,"Rhododendron lapponicum (L.) Wahlenb.","Rhododendron lapponicum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Rhododendron","Rhododendron lapponicum",6,7707728,220,1353,2505,2883026,2883075,"Magnoliopsida",NA,NA,"Rhododendron lapponicum",11,"Rhododendron","Rhododendron lapponicum"
5372693,"Salix reticulata L.","Salix reticulata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Malpighiales","Salicaceae","Salix","Salix reticulata",6,7707728,220,1414,6664,3039576,5372693,"Magnoliopsida",NA,NA,"Salix reticulata",12,"Salix","Salix reticulata"
2864429,"Tofieldia pusilla (Michx.) Pers.","Tofieldia pusilla","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Alismatales","Tofieldiaceae","Tofieldia","Tofieldia pusilla",6,7707728,196,551,3724,8114354,2864429,"Liliopsida",NA,NA,"Tofieldia pusilla",13,"Tofieldia","Tofieldia pusilla"
8073364,"Vaccinium uliginosum L.","Vaccinium uliginosum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Vaccinium","Vaccinium uliginosum",6,7707728,220,1353,2505,2882813,8073364,"Magnoliopsida",NA,NA,"Vaccinium uliginosum",14,"Vaccinium","Vaccinium uliginosum"
2882580,"Arctostaphylos uva-ursi (L.) Spreng.","Arctostaphylos uva-ursi","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos uva-ursi",6,7707728,220,1353,2505,2882486,2882580,"Magnoliopsida",NA,NA,"Arctostaphylos uva-ursi",18,"Arctostaphylos","Arctostaphylos uva-ursi"
5343710,"Astragalus frigidus (L.) A.Gray","Astragalus frigidus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Fabales","Fabaceae","Astragalus","Astragalus frigidus",6,7707728,220,1370,5386,2933951,5343710,"Magnoliopsida",NA,NA,"Astragalus frigidus",19,"Astragalus","Astragalus frigidus"
2787993,"Pseudorchis albida (L.) Á.Löve & D.Löve","Pseudorchis albida","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asparagales","Orchidaceae","Pseudorchis","Pseudorchis albida",6,7707728,196,1169,7689,7894706,2787993,"Liliopsida",NA,NA,"Pseudorchis albida",20,"Pseudorchis","Pseudorchis albida"
5372554,"Salix hastata L.","Salix hastata","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Malpighiales","Salicaceae","Salix","Salix hastata",6,7707728,220,1414,6664,3039576,5372554,"Magnoliopsida",NA,NA,"Salix hastata",21,"Salix","Salix hastata"
2791364,"Chamorchis alpina (L.) Rich.","Chamorchis alpina","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asparagales","Orchidaceae","Chamorchis","Chamorchis alpina",6,7707728,196,1169,7689,2791363,2791364,"Liliopsida",NA,NA,"Chamorchis alpina",22,"Chamorchis","Chamorchis alpina"
5415065,"Pinguicula vulgaris L.","Pinguicula vulgaris","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Lamiales","Lentibulariaceae","Pinguicula","Pinguicula vulgaris",6,7707728,220,408,2391,3172450,5415065,"Magnoliopsida",NA,NA,"Pinguicula vulgaris",23,"Pinguicula","Pinguicula vulgaris"
5333413,"Andromeda polifolia L.","Andromeda polifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Andromeda","Andromeda polifolia",6,7707728,220,1353,2505,2882786,5333413,"Magnoliopsida",NA,NA,"Andromeda polifolia",24,"Andromeda","Andromeda polifolia"
