"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","synonym","class","acceptedUsageKey","verbatim_name","verbatim_index","verbatim_genus","accepted_name"
5332004,"Betula nana L.","Betula nana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Fagales","Betulaceae","Betula","Betula nana",6,7707728,220,1354,4688,2875008,5332004,FALSE,"Magnoliopsida",NA,"Betula nana",1,"Betula","Betula nana"
2729338,"Carex parallela (Laest.) Sommerf.","Carex parallela","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Cyperaceae","Carex","Carex parallela",6,7707728,196,1369,7708,2721893,2729338,FALSE,"Liliopsida",NA,"Carex parallela",2,"Carex","Carex parallela"
2725816,"Carex vaginata Tausch","Carex vaginata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Cyperaceae","Carex","Carex vaginata",6,7707728,196,1369,7708,2721893,2725816,FALSE,"Liliopsida",NA,"Carex vaginata",3,"Carex","Carex vaginata"
5333401,"Cassiope tetragona (L.) D.Don","Cassiope tetragona","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Cassiope","Cassiope tetragona",6,7707728,220,1353,2505,2882766,5333401,FALSE,"Magnoliopsida",NA,"Cassiope tetragona",4,"Cassiope","Cassiope tetragona"
4889932,"Dryas octopetala L.","Dryas octopetala","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Rosales","Rosaceae","Dryas","Dryas octopetala",6,7707728,220,691,5015,3000739,4889932,FALSE,"Magnoliopsida",NA,"Dryas octopetala",5,"Dryas","Dryas octopetala"
7288768,"Empetrum nigrum var. nigrum","Empetrum nigrum nigrum","VARIETY","SYNONYM",96,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Empetrum","Empetrum nigrum",6,7707728,220,1353,2505,2888367,8925249,TRUE,"Magnoliopsida",8925249,"Empetrum nigrum/Empetrum nigrum subsp. hermaphroditum",6,"Empetrum","Empetrum nigrum"
2687948,"Equisetum scirpoides Michx.","Equisetum scirpoides","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Equisetales","Equisetaceae","Equisetum","Equisetum scirpoides",6,7707728,7228684,954,3105,2687913,2687948,FALSE,"Polypodiopsida",NA,"Equisetum scirpoides",7,"Equisetum","Equisetum scirpoides"
4038577,"Persicaria vivipara (L.) Ronse Decr.","Persicaria vivipara","SPECIES","SYNONYM",99,"EXACT","Plantae","Tracheophyta","Caryophyllales","Polygonaceae","Bistorta","Bistorta vivipara",6,7707728,220,422,2416,8148051,2889299,TRUE,"Magnoliopsida",2889299,"Persicaria vivipara",8,"Persicaria","Bistorta vivipara"
2883075,"Rhododendron lapponicum (L.) Wahlenb.","Rhododendron lapponicum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Rhododendron","Rhododendron lapponicum",6,7707728,220,1353,2505,2883026,2883075,FALSE,"Magnoliopsida",NA,"Rhododendron lapponicum",9,"Rhododendron","Rhododendron lapponicum"
5372693,"Salix reticulata L.","Salix reticulata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Malpighiales","Salicaceae","Salix","Salix reticulata",6,7707728,220,1414,6664,3039576,5372693,FALSE,"Magnoliopsida",NA,"Salix reticulata",10,"Salix","Salix reticulata"
2864429,"Tofieldia pusilla (Michx.) Pers.","Tofieldia pusilla","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Alismatales","Tofieldiaceae","Tofieldia","Tofieldia pusilla",6,7707728,196,551,3724,8114354,2864429,FALSE,"Liliopsida",NA,"Tofieldia pusilla",11,"Tofieldia","Tofieldia pusilla"
