"SPECIES_NAME","GENUS","SPECIES_NAME_trimmed","full_species_name"
"Abietinella abietina","Abietinella","Abietinella abietina",TRUE
"Acaena novae-zelandiae","Acaena","Acaena novae-zelandiae",TRUE
"Achillea atrata","Achillea","Achillea atrata",TRUE
"Achillea millefolium","Achillea","Achillea millefolium",TRUE
"Achnatherum calamagrostis","Achnatherum","Achnatherum calamagrostis",TRUE
"Aconitum delphiniifolium","Aconitum","Aconitum delphiniifolium",TRUE
"Aconitum septentrionale","Aconitum","Aconitum septentrionale",TRUE
"Aconitum villosum","Aconitum","Aconitum villosum",TRUE
"Adoxa moschatellina","Adoxa","Adoxa moschatellina",TRUE
"Agrostis ","Agrostis","Agrostis",FALSE
"Agrostis canina","Agrostis","Agrostis canina",TRUE
"Agrostis capillaris","Agrostis","Agrostis capillaris",TRUE
"Agrostis mertensii","Agrostis","Agrostis mertensii",TRUE
"Agrostis rupestris","Agrostis","Agrostis rupestris",TRUE
"Agrostis stolonifera","Agrostis","Agrostis stolonifera",TRUE
"Agrostis vinealis","Agrostis","Agrostis vinealis",TRUE
"Ajania tenuifolia","Ajania","Ajania tenuifolia",TRUE
"Ajuga australis","Ajuga","Ajuga australis",TRUE
"Alchemilla","Alchemilla","Alchemilla",FALSE
"Alchemilla ","Alchemilla","Alchemilla",FALSE
"Alchemilla alpina","Alchemilla","Alchemilla alpina",TRUE
"Alchemilla caucasica","Alchemilla","Alchemilla caucasica",TRUE
"Alchemilla vulgaris","Alchemilla","Alchemilla vulgaris",TRUE
"Alectoria ","Alectoria","Alectoria",FALSE
"Alectoria ochroleuca","Alectoria","Alectoria ochroleuca",TRUE
"Allium geyeri","Allium","Allium geyeri",TRUE
"Allocetraria madreporiformis","Allocetraria","Allocetraria madreporiformis",TRUE
"Alopecurus","Alopecurus","Alopecurus",FALSE
"Alopecurus alpinus","Alopecurus","Alopecurus alpinus",TRUE
"Alopecurus magellanicus","Alopecurus","Alopecurus magellanicus",TRUE
"Alopecurus ovatus","Alopecurus","Alopecurus ovatus",TRUE
"Alopecurus pratensis","Alopecurus","Alopecurus pratensis",TRUE
"Anaphalis lactea","Anaphalis","Anaphalis lactea",TRUE
"Anastrophyllum","Anastrophyllum","Anastrophyllum",FALSE
"ANDBUN_UNK","ANDBUN_UNK","ANDBUN_UNK",FALSE
"Andromeda polifolia","Andromeda","Andromeda polifolia",TRUE
"Androsace chamaejasme","Androsace","Androsace chamaejasme",TRUE
"Androsace obtusifolia","Androsace","Androsace obtusifolia",TRUE
"Androsace ochotensis","Androsace","Androsace ochotensis",TRUE
"Androsace septentrionalis","Androsace","Androsace septentrionalis",TRUE
"Androsace triflora","Androsace","Androsace triflora",TRUE
"Anemonastrum narcissiflorum","Anemonastrum","Anemonastrum narcissiflorum",TRUE
"Anemonastrum richardsonii","Anemonastrum","Anemonastrum richardsonii",TRUE
"Anemone ","Anemone","Anemone",FALSE
"Anemone multifida","Anemone","Anemone multifida",TRUE
"Anemone obtusiloba","Anemone","Anemone obtusiloba",TRUE
"Anemone parviflora","Anemone","Anemone parviflora",TRUE
"Aneura pinguis","Aneura","Aneura pinguis",TRUE
"Angelica saxatilis","Angelica","Angelica saxatilis",TRUE
"Antennaria ","Antennaria","Antennaria",FALSE
"Antennaria alpina","Antennaria","Antennaria alpina",TRUE
"Antennaria canescens","Antennaria","Antennaria canescens",TRUE
"Antennaria dioica","Antennaria","Antennaria dioica",TRUE
"Antennaria friesiana","Antennaria","Antennaria friesiana",TRUE
"Antennaria lanata","Antennaria","Antennaria lanata",TRUE
"Antennaria media","Antennaria","Antennaria media",TRUE
"Antennaria monocephala","Antennaria","Antennaria monocephala",TRUE
"Antennaria rosea","Antennaria","Antennaria rosea",TRUE
"Anthelia julacea","Anthelia","Anthelia julacea",TRUE
"Anthelia juratzkana","Anthelia","Anthelia juratzkana",TRUE
"Anthemis cretica","Anthemis","Anthemis cretica",TRUE
"Anthoxanthum arcticum","Anthoxanthum","Anthoxanthum arcticum",TRUE
"Anthoxanthum monticola","Anthoxanthum","Anthoxanthum monticola",TRUE
"Anthoxanthum nipponicum","Anthoxanthum","Anthoxanthum nipponicum",TRUE
"Anthoxanthum nitens","Anthoxanthum","Anthoxanthum nitens",TRUE
"Anthoxanthum odoratum","Anthoxanthum","Anthoxanthum odoratum",TRUE
"Anthyllis vulneraria","Anthyllis","Anthyllis vulneraria",TRUE
"Aquilegia flabellata","Aquilegia","Aquilegia flabellata",TRUE
"Aquilonium plicatulum","Aquilonium","Aquilonium plicatulum",TRUE
"Arabidopsis lyrata","Arabidopsis","Arabidopsis lyrata",TRUE
"Arabis alpina","Arabis","Arabis alpina",TRUE
"Arabis caerulea","Arabis","Arabis caerulea",TRUE
"Arabis petraea","Arabis","Arabis petraea",TRUE
"Arabis soyeri","Arabis","Arabis soyeri",TRUE
"Arctagrostis latifolia","Arctagrostis","Arctagrostis latifolia",TRUE
"Arctoa glacialis","Arctoa","Arctoa glacialis",TRUE
"Arctoa starkei","Arctoa","Arctoa starkei",TRUE
"Arctoparmelia separata","Arctoparmelia","Arctoparmelia separata",TRUE
"Arctophila fulva","Arctophila","Arctophila fulva",TRUE
"Arctostaphylos ","Arctostaphylos","Arctostaphylos",FALSE
"Arctostaphylos alpinus","Arctostaphylos","Arctostaphylos alpinus",TRUE
"Arctostaphylos rubra","Arctostaphylos","Arctostaphylos rubra",TRUE
"Arctostaphylos uva-ursi","Arctostaphylos","Arctostaphylos uva-ursi",TRUE
"Arenaria biflora","Arenaria","Arenaria biflora",TRUE
"Arenaria lychnidea","Arenaria","Arenaria lychnidea",TRUE
"Arenaria norvegica","Arenaria","Arenaria norvegica",TRUE
"Arenaria pseudofrigida","Arenaria","Arenaria pseudofrigida",TRUE
"Argentina anserina","Argentina","Argentina anserina",TRUE
"Argyrotegium fordianum","Argyrotegium","Argyrotegium fordianum",TRUE
"Argyrotegium nitidulum","Argyrotegium","Argyrotegium nitidulum",TRUE
"Armeria maritima","Armeria","Armeria maritima",TRUE
"Arnica ","Arnica","Arnica",FALSE
"Arnica alpina","Arnica","Arnica alpina",TRUE
"Arnica angustifolia","Arnica","Arnica angustifolia",TRUE
"Arnica griscomii","Arnica","Arnica griscomii",TRUE
