"SCIENTIFIC_NAME","AUTHOR","STATUS","FAMILY","ACCEPTED_SPECIES","ACCEPTED_AUTHOR","n_sci","one_is_acc","all_unresolved","just_one_syn","one_is_un","non_vasc_typo","SPECIES_NAME"
"Achillea lanulosa","Nutt.","Synonym","Compositae","Achillea millefolium","L.",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Achillea millefolium"
"Achillea millefolium","L.","Accepted","Compositae","Achillea millefolium","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Achillea millefolium"
"Aconitum delphinifolium","DC.","Accepted","Ranunculaceae","Aconitum delphinifolium","DC.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Aconitum delphinifolium"
"Agrostis canina","L.","Accepted","Poaceae","Agrostis canina","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis canina"
"Agrostis canina","Ucria","Synonym","Poaceae","Agrostis pourretii","Willd.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis canina"
"Agrostis capillaris","L.","Accepted","Poaceae","Agrostis capillaris","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis capillaris"
"Agrostis mertensii","Trin.","Accepted","Poaceae","Agrostis mertensii","Trin.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis mertensii"
"Agrostis stolonifera","L.","Accepted","Poaceae","Agrostis stolonifera","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis stolonifera"
"Agrostis stolonifera","Leers","Synonym","Poaceae","Agrostis gigantea","Roth",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis stolonifera"
"Agrostis vinealis","Schreb.","Accepted","Poaceae","Agrostis vinealis","Schreb.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis vinealis"
"Agrostis vinealis","Honck.","Synonym","Poaceae","Agrostis castellana","Boiss. & Reut.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis vinealis"
"Alchemilla alpina","L.","Accepted","Rosaceae","Alchemilla alpina","L.",5,TRUE,FALSE,FALSE,TRUE,FALSE,"Alchemilla alpina"
"Alchemilla alpina","M.Bieb.","Unresolved","Rosaceae","Alchemilla alpina","M.Bieb.",5,TRUE,FALSE,FALSE,TRUE,FALSE,"Alchemilla alpina"
"Alchemilla alpina","Willk.","Unresolved","Rosaceae","Alchemilla alpina","Willk.",5,TRUE,FALSE,FALSE,TRUE,FALSE,"Alchemilla alpina"
"Alchemilla alpina","Schinz & R.Keller","Unresolved","Rosaceae","Alchemilla alpina","Schinz & R.Keller",5,TRUE,FALSE,FALSE,TRUE,FALSE,"Alchemilla alpina"
"Alchemilla alpina","Neilr.","Unresolved","Rosaceae","Alchemilla alpina","Neilr.",5,TRUE,FALSE,FALSE,TRUE,FALSE,"Alchemilla alpina"
"Alchemilla vulgaris","Willd.","Unresolved","Rosaceae","Alchemilla vulgaris","Willd.",6,FALSE,FALSE,FALSE,TRUE,FALSE,"Alchemilla vulgaris"
"Alchemilla vulgaris","Wight","Unresolved","Rosaceae","Alchemilla vulgaris","Wight",6,FALSE,FALSE,FALSE,TRUE,FALSE,"Alchemilla vulgaris"
"Alchemilla vulgaris","L.","Unresolved","Rosaceae","Alchemilla vulgaris","L.",6,FALSE,FALSE,FALSE,TRUE,FALSE,"Alchemilla vulgaris"
