"GBIF_name" "SCIENTIFIC_NAME" "AUTHOR" "STATUS" "FAMILY" "ACCEPTED_SPECIES" "ACCEPTED_AUTHOR" "n_sci" "one_is_acc" "all_unresolved" "just_one_syn" "one_is_un" "non_vasc_typo" "SPECIES_NAME" "ITEX_name" "n_occ"
"Abietinella abietina" "Abietinella abietina" "(Hedw.) M. Fleisch." "Accepted" "Thuidiaceae" "Abietinella abietina" "(Hedw.) M. Fleisch." 1 TRUE FALSE FALSE FALSE FALSE "Abietinella abietina" "Abietinella abietina" 21411
"Acaena novae-zelandiae" "Acaena novae-zelandiae" "Kirk" "Accepted" "Rosaceae" "Acaena novae-zelandiae" "Kirk" 1 TRUE FALSE FALSE FALSE FALSE "Acaena novae-zelandiae" "Acaena novae-zelandiae" 33298
"Achillea atrata" "Achillea atrata" "L." "Accepted" "Compositae" "Achillea atrata" "L." 1 TRUE FALSE FALSE FALSE FALSE "Achillea atrata" "Achillea atrata" 6057
"Achillea millefolium" "Achillea lanulosa" "Nutt." "Synonym" "Compositae" "Achillea millefolium" "L." 1 FALSE FALSE TRUE FALSE FALSE "Achillea millefolium" "Achillea millefolium" 1346297
"Achillea millefolium" "Achillea millefolium" "L." "Accepted" "Compositae" "Achillea millefolium" "L." 1 TRUE FALSE FALSE FALSE FALSE "Achillea millefolium" "Achillea millefolium" 1346297
"Aconitum delphinifolium" "Aconitum delphinifolium" "DC." "Accepted" "Ranunculaceae" "Aconitum delphinifolium" "DC." 1 TRUE FALSE FALSE FALSE FALSE "Aconitum delphinifolium" "Aconitum delphinifolium" 1351
"Aconitum septentrionale" "Aconitum septentrionale" "Koelle" "Accepted" "Ranunculaceae" "Aconitum septentrionale" "Koelle" 1 TRUE FALSE FALSE FALSE FALSE "Aconitum septentrionale" "Aconitum septentrionale" 32700
"Aconitum tschangbaischanense" "Aconitum tschangbaischanense" "S.H.Li & Y.H.Huang" "Accepted" "Ranunculaceae" "Aconitum tschangbaischanense" "S.H.Li & Y.H.Huang" 1 TRUE FALSE FALSE FALSE FALSE "Aconitum tschangbaischanense" "Aconitum tschangbaischanense" 19
"Adoxa moschatellina" "Adoxa moschatellina" "L." "Accepted" "Adoxaceae" "Adoxa moschatellina" "L." 1 TRUE FALSE FALSE FALSE FALSE "Adoxa moschatellina" "Adoxa moschatellina" 137652
"Agropyron velutinum" "Australopyrum velutinum" "(Nees) B.K.Simon" "Synonym" "Poaceae" "Agropyron velutinum" "Nees" 1 FALSE FALSE TRUE FALSE FALSE "Agropyron velutinum" "Agropyron velutinum" 1
"Agrostis canina" "Agrostis canina" "L." "Accepted" "Poaceae" "Agrostis canina" "L." 2 TRUE FALSE FALSE FALSE FALSE "Agrostis canina" "Agrostis canina" 215667
"Agrostis canina" "Agrostis canina" "Ucria" "Synonym" "Poaceae" "Agrostis pourretii" "Willd." 2 TRUE FALSE FALSE FALSE FALSE "Agrostis canina" "Agrostis canina" 215667
"Agrostis capillaris" "Agrostis capillaris" "L." "Accepted" "Poaceae" "Agrostis capillaris" "L." 1 TRUE FALSE FALSE FALSE FALSE "Agrostis capillaris" "Agrostis capillaris" 944807
"Agrostis humilis" "Agrostis humilis" "Vasey" "Accepted" "Poaceae" "Agrostis humilis" "Vasey" 1 TRUE FALSE FALSE FALSE FALSE "Agrostis humilis" "Agrostis humilis" 397
"Agrostis mertensii" "Agrostis mertensii" "Trin." "Accepted" "Poaceae" "Agrostis mertensii" "Trin." 1 TRUE FALSE FALSE FALSE FALSE "Agrostis mertensii" "Agrostis mertensii" 18809
"Agrostis rupestris" "Agrostis rupestris" "All." "Accepted" "Poaceae" "Agrostis rupestris" "All." 2 TRUE FALSE FALSE FALSE FALSE "Agrostis rupestris" "Agrostis rupestris" 25414
"Agrostis rupestris" "Agrostis rupestris" "Willd. ex Kunth" "Synonym" "Poaceae" "Agrostis alpina" "Scop." 2 TRUE FALSE FALSE FALSE FALSE "Agrostis rupestris" "Agrostis rupestris" 25414
"Agrostis stolonifera" "Agrostis stolonifera" "L." "Accepted" "Poaceae" "Agrostis stolonifera" "L." 2 TRUE FALSE FALSE FALSE FALSE "Agrostis stolonifera" "Agrostis stolonifera" 845319
"Agrostis stolonifera" "Agrostis stolonifera" "Leers" "Synonym" "Poaceae" "Agrostis gigantea" "Roth" 2 TRUE FALSE FALSE FALSE FALSE "Agrostis stolonifera" "Agrostis stolonifera" 845319
"Agrostis vinealis" "Agrostis vinealis" "Schreb." "Accepted" "Poaceae" "Agrostis vinealis" "Schreb." 2 TRUE FALSE FALSE FALSE FALSE "Agrostis vinealis" "Agrostis vinealis" 50227
